,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,topic_no
57,"Ik ga naar een restaurant. Genaamt: Bonte koe. Als toetje kan je een wafel nemen met chocolade saus, slagroom, arbeien en poedersuiler. Mmmmmn?????????????????????????? ","11: Lange berichte van eten, filmptje",4.1,2,"['saus', 'wafel', 'restaurant', 'chocolad', 'slagrom', 'toetj']","['ga', 'restaurant', 'genaamt', 'bont', 'koe', 'toetj', 'wafel', 'nem', 'chocolad', 'saus', 'slagrom', 'arbei', 'poedersuiler', 'mmmn']",0.0,10.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.6499999999999999,0.0,0.0,1.0,0.0,0.0,11
313,Fietsen tafel is net een wafel met chocolade saus,"11: Lange berichte van eten, filmptje",4.133333333333334,0,"['saus', 'wafel', 'chocolad', 'tafel']","['fiets', 'tafel', 'net', 'wafel', 'chocolad', 'saus']",0.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.55,0.0,0.0,1.0,0.0,0.0,11
314,Een fiets een tafel is met een wafel chocoladesaus,"11: Lange berichte van eten, filmptje",3.6,0,"['wafel', 'chocoladesaus', 'tafel']","['fiet', 'tafel', 'wafel', 'chocoladesaus']",0.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,11
503,Ik ga mijn hele grote frikandel opeten,"11: Lange berichte van eten, filmptje",4.0,0,"['frikandel', 'opet']","['ga', 'hel', 'grot', 'frikandel', 'opet']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5866666666666667,0.0,0.0,1.0,0.0,0.0,11
727,Wij biefstuk,"11: Lange berichte van eten, filmptje",2.8,0,['biefstuk'],"['wij', 'biefstuk']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11
1135,Ik heb een banaan mee ik ga hem nu pakken,"11: Lange berichte van eten, filmptje",2.0,0,['banan'],"['banan', 'mee', 'ga', 'pak']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11
1218,Nou omdat als een koe geen poten heeft dan is het een biefstuk omdat biefstuk van een koe gemaakt wordt dus ja,"11: Lange berichte van eten, filmptje",2.8,0,"['biefstuk', 'biefstuk']","['nou', 'koe', 'pot', 'biefstuk', 'biefstuk', 'koe', 'gemaakt']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.6,0.0,0.0,1.0,0.0,0.0,11
1220,Omdat een koe als hij geslacht word geeft hij biefstuk en hij heeft geen poten dus hij stuk biefstuk,"11: Lange berichte van eten, filmptje",2.8,3,"['biefstuk', 'biefstuk']","['koe', 'geslacht', 'word', 'geeft', 'biefstuk', 'pot', 'stuk', 'biefstuk']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,11
1397,Jongens Ik ga de hele tijd yoghurt Ik ga zeg maar inspreken Ja en dat vind ik gewoon grappig en ik ben niet bij de Ronnie Hesselink Besselink Besselink Nelissen Romy Besselink Romy Wesselink Ronnie Hesselink,"11: Lange berichte van eten, filmptje",2.2,0,['yoghurt'],"['jongen', 'ga', 'hel', 'tijd', 'yoghurt', 'ga', 'zeg', 'insprek', 'vind', 'gewon', 'grappig', 'ronnie', 'hesselink', 'besselink', 'besselink', 'neliss', 'romy', 'besselink', 'romy', 'wesselink', 'ronnie', 'hesselink']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36666666666666664,0.0,0.0,1.0,0.0,0.0,11
1492,Ben je vijlig thuis gekomen of ben je verongelult ben je nu ookoe van het lopen nou jij dan meer dan ik want ik hoefte niet zover ook nog te fietsen naar huis als jij.???? ik voel mij ni een beetje lonlie nu jij weg bent ik lreeg nog toen ik thuis kwam ajoppjes (lekerrrrr hoor wat ben jij nu aan het doen thiis wisrje dat je dan wel in de avond geenailtjes kan aturen maar wel fipjes kan kijken of had ik dat al gezecht ik ga zo met jacob naar e mevrouw toe en hoop dat ze thuis is dan????,"11: Lange berichte van eten, filmptje",,0,['jacob'],"['vijlig', 'thuis', 'gekom', 'verongelult', 'ookoe', 'lop', 'nou', 'jij', 'hoeft', 'zover', 'fiets', 'huis', 'jij', 'voel', 'ni', 'beetj', 'lonlie', 'jij', 'weg', 'bent', 'lreg', 'thuis', 'kwam', 'ajoppjes', 'lekerr', 'hor', 'jij', 'thiis', 'wisrj', 'wel', 'avond', 'geenailtjes', 'atur', 'wel', 'fipjes', 'kijk', 'gezecht', 'ga', 'jacob', 'mevrouw', 'toe', 'hop', 'thuis']",1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6499999999999999,0.0,1.0,0.0,1.0,0.0,11
