,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,topic_no
5,Broodtrommel,1: Eten / eten gaan,,0,['broodtrommel'],['broodtrommel'],0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
18,Is het eten lekker allemaal,1: Eten / eten gaan,,0,['eten'],"['eten', 'lekker', 'allemal']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,1
27,Waarom eten,1: Eten / eten gaan,,1,['eten'],"['waarom', 'eten']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
33,Eten??,1: Eten / eten gaan,,3,['eten'],['eten'],2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
34,Eten lekker,1: Eten / eten gaan,,0,['eten'],"['eten', 'lekker']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,1
37,Eten!,1: Eten / eten gaan,,2,['eten'],['eten'],2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
39,Ik ga vanavond friet eten,1: Eten / eten gaan,4.0,2,"['eten', 'friet']","['ga', 'vanavond', 'friet', 'eten']",2.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1
42,Ben ik aan het eten,1: Eten / eten gaan,,2,['eten'],['eten'],2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
44,Dit ben ik aan het eten,1: Eten / eten gaan,,0,['eten'],['eten'],2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
47,Goede morgen ik had dit als ontbijt,1: Eten / eten gaan,,2,['ontbijt'],"['goed', 'morg', 'ontbijt']",2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.0,0.0,0.0,0.0,1.0,1
52,Dit ga ik eten,1: Eten / eten gaan,,2,['eten'],"['ga', 'eten']",2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
59,Eten,1: Eten / eten gaan,,0,['eten'],['eten'],0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
60,Moet eten doei!!!!!,1: Eten / eten gaan,,1,['eten'],"['eten', 'doei']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
62,Smakelijk eten ,1: Eten / eten gaan,,4,"['eten', 'smakelijk']","['smakelijk', 'eten']",2.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7,0.0,0.0,0.0,0.0,1.0,1
65,Ben aan hwt eten,1: Eten / eten gaan,,0,['eten'],"['hwt', 'eten']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
72,Lekker pizza eten,1: Eten / eten gaan,3.0,0,"['pizza', 'eten']","['lekker', 'pizza', 'eten']",2.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.6,0.0,0.0,0.0,0.0,1.0,1
73,Lekker eten ahah,1: Eten / eten gaan,,0,['eten'],"['lekker', 'eten', 'ahah']",2.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,1.0,1
77,En dan moet ik nog eten,1: Eten / eten gaan,,0,['eten'],['eten'],0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
83,Wij friet,1: Eten / eten gaan,4.0,0,['friet'],"['wij', 'friet']",0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
84,Ik kan smorgens niet eten,1: Eten / eten gaan,,0,['eten'],"['smorgen', 'eten']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
88,Wat eten jullie?,1: Eten / eten gaan,,1,['eten'],"['eten', 'jullie']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
99,Ik bedoel het eigenlijk een haai maar ik weet dat het een vis.,1: Eten / eten gaan,1.0,0,['vis'],"['bedoel', 'eigen', 'haai', 'wet', 'vis']",0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
100,Ik ga tafelen,1: Eten / eten gaan,,0,['tafel'],"['ga', 'tafel']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
106,Jullie smakelijk??,1: Eten / eten gaan,,1,['smakelijk'],"['jullie', 'smakelijk']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,1.0,0.0,0.0,1
110,We eten friet want hier is zaterdag frietjesdag #frietjesdag??????,1: Eten / eten gaan,4.0,0,"['eten', 'friet']","['we', 'eten', 'friet', 'zaterdag', 'frietjesdag', 'frietjesdag']",0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
112,W'zijn in limburg bij opa en oma en eten friet want het is frietjesdag effe een afkorting yyyflww*                                   ,1: Eten / eten gaan,4.0,0,"['eten', 'friet']","['limburg', 'opa', 'oma', 'eten', 'friet', 'frietjesdag', 'eff', 'afkort', 'yyflww']",0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
116,Ik ga niet zeggen wat ik eet ,1: Eten / eten gaan,,0,['eet'],"['ga', 'zegg', 'eet']",0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
