,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,topic_no
12,Ik ben kkrt en pittig,8: Wat eet ik: vlees / vegetarisch,,0,['pittig'],"['kkrt', 'pittig']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,8
22,Hammmmmm kaaaaaaasssss op een tossssssstiiiiiiiiiii,8: Wat eet ik: vlees / vegetarisch,4.0,3,['kas'],"['hamm', 'kas', 'tosstii']",2.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8
49,Die is bes wel dk,8: Wat eet ik: vlees / vegetarisch,1.0,0,['bes'],"['bes', 'wel', 'dk']",1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8
140,Heb je emojies want ik spaar ze,8: Wat eet ik: vlees / vegetarisch,,0,['spar'],"['emojies', 'spar']",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8
141,Spaar jij emojjies,8: Wat eet ik: vlees / vegetarisch,,0,['spar'],"['spar', 'jij', 'emojjies']",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8
154,Ik niet heb net kapsalon bij noortjes zaak gegeten,8: Wat eet ik: vlees / vegetarisch,3.5,1,['kapsalon'],"['net', 'kapsalon', 'noortjes', 'zak', 'geget']",1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.55,0.0,0.0,0.0,1.0,0.0,8
162,Boterhammen en een peperkoek,8: Wat eet ik: vlees / vegetarisch,3.1,0,"['peperkoek', 'boterhamm']","['boterhamm', 'peperkoek']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8
171,Chinezen eten honden,8: Wat eet ik: vlees / vegetarisch,,0,['eten'],"['chinez', 'eten', 'hond']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8
172,"Als hij een hond hij had, lag die al op de barbecue",8: Wat eet ik: vlees / vegetarisch,3.3,0,['barbecue'],"['hond', 'lag', 'barbecue']",0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8
282, Met Jim Boter,8: Wat eet ik: vlees / vegetarisch,5.0,0,['boter'],"['jim', 'boter']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8
