,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,topic_no
43,Mjam,5: Making photos of food / honger krijgen,,1,['mjam'],['mjam'],0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
51,Mjam snotjes,5: Making photos of food / honger krijgen,,1,"['mjam,', 'mjam']","['mjam', 'snotjes']",1.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5
67,Hoi ken meneer blauwe kreeft,5: Making photos of food / honger krijgen,1.0,0,['kreeft'],"['hoi', 'ken', 'mener', 'blauw', 'kreeft']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
122,En ik zit aan de cola,5: Making photos of food / honger krijgen,4.4,0,['cola'],"['zit', 'cola']",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5
167,"Dit is een pittige, wie zou jij uit de klas willen? Je mag niet kiezen uit groepje 1.",5: Making photos of food / honger krijgen,,0,['pittig'],"['pittig', 'jij', 'klas', 'will', 'mag', 'kiez', 'groepj']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,5
176,Die meisjes die aan het picknicken waren ,5: Making photos of food / honger krijgen,,0,['picknick'],"['meisjes', 'picknick']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
195,Kom dan vechten reep cola,5: Making photos of food / honger krijgen,4.4,0,['cola'],"['kom', 'vecht', 'rep', 'cola']",0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5
272,Lucy is cupcake,5: Making photos of food / honger krijgen,3.8,0,['cupcak'],"['lucy', 'cupcak']",2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5
333,Ik zit op mijn tablet Subway Surfers te doen en jij?,5: Making photos of food / honger krijgen,,0,['subway'],"['zit', 'tablet', 'subway', 'surfer', 'jij']",0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5
335,Melk,5: Making photos of food / honger krijgen,3.6,0,['melk'],['melk'],1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5
351,Structuurvisie snackbar dozijn dynastie haarlak kan opdruk,5: Making photos of food / honger krijgen,,0,['snackbar'],"['structuurvisie', 'snackbar', 'dozijn', 'dynastie', 'haarlak', 'opdruk']",0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5
352,Drink jij water om erbij te horen?,5: Making photos of food / honger krijgen,,0,['drink'],"['drink', 'jij', 'water', 'erbij', 'hor']",0.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
367,Ik zit in de bus naar Berg en Dal oe oe,5: Making photos of food / honger krijgen,1.0,0,['dal'],"['zit', 'bus', 'berg', 'dal', 'oe', 'oe']",0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.6499999999999999,0.0,0.0,1.0,0.0,0.0,5
370,SOEP SOOF WEET WAT UK BEDOEL,5: Making photos of food / honger krijgen,1.6,5,['soep'],"['soep', 'sof', 'wet', 'uk', 'bedoel']",2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5
420,Over water drinken,5: Making photos of food / honger krijgen,,0,['drink'],"['water', 'drink']",0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
582,Ik kreeg vragen over. Sport en drinken ,5: Making photos of food / honger krijgen,,0,['drink'],"['kreg', 'vrag', 'sport', 'drink']",0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
584,Ik heb een vrag over drinken,5: Making photos of food / honger krijgen,,0,['drink'],"['vrag', 'drink']",0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
590,Vragen over drinken,5: Making photos of food / honger krijgen,,0,['drink'],"['vrag', 'drink']",0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
596,Melk beschuit,5: Making photos of food / honger krijgen,3.05,0,"['melk', 'beschuit']","['melk', 'beschuit']",0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5
615,Over drinken,5: Making photos of food / honger krijgen,,0,['drink'],['drink'],0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
678,Ik kom net van de maccie,5: Making photos of food / honger krijgen,,1,['maccie'],"['kom', 'net', 'maccie']",0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,1.0,0.0,1.0,0.0,0.0,5
700,Wij hebben vanavond chips avon,5: Making photos of food / honger krijgen,4.2,0,['chip'],"['wij', 'vanavond', 'chip', 'avon']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
734,Wat betekent maccie,5: Making photos of food / honger krijgen,,0,['maccie'],"['betekent', 'maccie']",0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5
743,Ik zit honing pops teeten,5: Making photos of food / honger krijgen,4.0,0,['honing'],"['zit', 'honing', 'pop', 'tet']",2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5
745,Mij honing pops met melk zijn op,5: Making photos of food / honger krijgen,3.8,0,"['honing', 'melk']","['honing', 'pop', 'melk']",0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5
762,Drinken ,5: Making photos of food / honger krijgen,,0,['drink'],['drink'],0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
776,Dit drink ik,5: Making photos of food / honger krijgen,,0,['drink'],['drink'],2.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5
779,Doe melken water bij elkaar in een glas en drink het op,5: Making photos of food / honger krijgen,3.6,0,"['drink', 'melk']","['doe', 'melk', 'water', 'elkar', 'glas', 'drink']",0.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5
803,Wie wil dit bakken voor de heele klas,5: Making photos of food / honger krijgen,,2,['bak'],"['bak', 'hel', 'klas']",2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5
815,Ikke doe mij maar chocolade,5: Making photos of food / honger krijgen,5.0,0,['chocolad'],"['ik', 'doe', 'chocolad']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
826,Ps julie hebben wel veel chips??????????????????????????,5: Making photos of food / honger krijgen,4.2,0,['chip'],"['ps', 'julie', 'wel', 'chip']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
831,Verzamelen bij de bier pomp??,5: Making photos of food / honger krijgen,,0,['bier'],"['verzamel', 'bier', 'pomp']",0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
893,Mjam mjam,5: Making photos of food / honger krijgen,,0,"['mjam,', 'mjam', 'mjam']","['mjam', 'mjam']",0.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5
894,Mjam mjam lekker!!!!,5: Making photos of food / honger krijgen,,0,"['mjam,', 'mjam,', 'mjam', 'mjam']","['mjam', 'mjam', 'lekker']",2.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,5
923,Ik spaar psv kaartjes van jumbo bedoel je die,5: Making photos of food / honger krijgen,,0,"['spar', 'jumbo']","['spar', 'psv', 'kaartjes', 'jumbo', 'bedoel']",0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,5
929,Seri ik heb net chips gehaald,5: Making photos of food / honger krijgen,4.2,0,['chip'],"['seri', 'net', 'chip', 'gehaald']",0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.0,0.0,1.0,0.0,0.0,5
979,Heeele grooooote blauwe plek en haar eleboog heeft gebloed zit nu een korst op ze heeft hewlveel pijn ??????,5: Making photos of food / honger krijgen,,0,['korst'],"['hel', 'grot', 'blauw', 'plek', 'elebog', 'gebloed', 'zit', 'korst', 'hewlvel', 'pijn']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
