,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,topic_no
81,Ik ga lekker donut en tompouce eten omdat het gister valentijn was en ik nog wat had overgehouden,6: Indulgent eating,4.1,0,"['donut', 'eten', 'tompouc']","['ga', 'lekker', 'donut', 'tompouc', 'eten', 'gister', 'valentijn', 'overgehoud']",0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.6,0.0,0.0,1.0,0.0,0.0,6
102,# avocado,6: Indulgent eating,1.0,1,['avocado'],['avocado'],0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
111,Wij eten friet ennnnnnnnnnnn salade hmpf??????,6: Indulgent eating,2.9,0,"['salad', 'eten', 'friet']","['wij', 'eten', 'friet', 'enn', 'salad', 'hmpf']",0.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6
117,"Omdat, ik niet ging zeggen wat ik ging eten en Julian kwan ermee aan zetten in de party.",6: Indulgent eating,,0,['eten'],"['ging', 'zegg', 'ging', 'eten', 'julian', 'kwan', 'ermee', 'zet', 'party']",0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
170,Luke als je een hond had was hij eerste dag al opgegeten dus hjb maar gwn,6: Indulgent eating,,0,['opgeget'],"['luk', 'hond', 'eerst', 'dag', 'opgeget', 'hjb', 'gwn']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
187,Sinds aiman zij dat zijn vader giraf kan eten ik ging stukkkjjj,6: Indulgent eating,,0,['eten'],"['sind', 'aiman', 'vader', 'giraf', 'eten', 'ging', 'stukkjj']",1.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6
190,Zogenaamd je kan giraf eten,6: Indulgent eating,,0,['eten'],"['zogenaamd', 'giraf', 'eten']",1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.15000000000000002,0.0,0.0,0.0,1.0,0.0,6
237,Janan ik ging net naar rosario pizza kopen,6: Indulgent eating,3.0,0,['pizza'],"['janan', 'ging', 'net', 'rosario', 'pizza', 'kop']",0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.27499999999999997,0.0,0.0,1.0,0.0,0.0,6
238,Deze pizza maar zonder stukjes vlees omdat ik een vegetaries ben dat weet je toch,6: Indulgent eating,2.5,0,"['pizza', 'vles']","['pizza', 'stukjes', 'vles', 'vegetaries', 'wet']",0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6
374,Sorry per ongeluk (jacob,6: Indulgent eating,,2,['jacob'],"['sorry', 'per', 'ongeluk', 'jacob']",0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6
389,Ik ga zometeen ook bakken voororhen,6: Indulgent eating,,0,['bak'],"['ga', 'zometen', 'bak', 'voororh']",0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
450,Nee ik eigenlijk ook niet waar slaat het eigenlijk op weetje weetje weetje weetje weetje weetje weetje weetje weetje weetje weetje weetje Olivia is lelijk en ze heeft een dikke kont en daarom eet je eet je altijd dikke kop Met een dikke kont en een lekkere dikke poep met van een kat die diarree heeft met elke dag daar bij een k**,6: Indulgent eating,,0,"['eet', 'eet']","['nee', 'eigen', 'war', 'slat', 'eigen', 'weetj', 'weetj', 'weetj', 'weetj', 'weetj', 'weetj', 'weetj', 'weetj', 'weetj', 'weetj', 'weetj', 'weetj', 'olivia', 'lelijk', 'dik', 'kont', 'daarom', 'eet', 'eet', 'dik', 'kop', 'dik', 'kont', 'lekker', 'dik', 'poep', 'kat', 'diarree', 'elk', 'dag']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.11249999999999999,0.0,0.0,1.0,0.0,0.0,6
